Date,Forecast (Liters),Building
2025-06-10,0.1,A1FD
2025-06-11,-0.02,A1FD
2025-06-12,0.02,A1FD
2025-06-10,385.88,A1FF
2025-06-11,345.09,A1FF
2025-06-12,387.33,A1FF
2025-06-10,175.27,A1MD
2025-06-11,186.65,A1MD
2025-06-12,153.08,A1MD
2025-06-10,222.42,A1MF
2025-06-11,242.81,A1MF
2025-06-12,267.79,A1MF
2025-06-10,116.66,A2MFD
2025-06-11,118.22,A2MFD
2025-06-12,126.24,A2MFD
2025-06-10,184.24,A2MFF
2025-06-11,142.83,A2MFF
2025-06-12,180.49,A2MFF
2025-06-10,1.88,AGFD
2025-06-11,2.15,AGFD
2025-06-12,1.85,AGFD
2025-06-10,616.5,AGFF
2025-06-11,587.37,AGFF
2025-06-12,668.33,AGFF
2025-06-10,0.44,AGMD
2025-06-11,0.68,AGMD
2025-06-12,1.84,AGMD
2025-06-10,302.72,AGMF
2025-06-11,288.82,AGMF
2025-06-12,303.37,AGMF
2025-06-10,1502.59,ATTD
2025-06-11,1572.21,ATTD
2025-06-12,1692.93,ATTD
2025-06-10,2353.06,ATTF
2025-06-11,2351.64,ATTF
2025-06-12,2750.75,ATTF
2025-05-18,-138.26,B1FD
2025-05-19,-132.97,B1FD
2025-05-20,-156.25,B1FD
2025-05-18,-515.39,B1FF
2025-05-19,-285.61,B1FF
2025-05-20,-445.46,B1FF
2025-05-18,-0.92,B1MD
2025-05-19,0.88,B1MD
2025-05-20,-2.32,B1MD
2025-05-18,1038.3,B1MF
2025-05-19,2523.09,B1MF
2025-05-20,2477.76,B1MF
2025-05-18,-398.67,B2MFD
2025-05-19,85.76,B2MFD
2025-05-20,-434.53,B2MFD
2025-05-18,0.0,B2MFF
2025-05-19,0.0,B2MFF
2025-05-20,0.0,B2MFF
2025-05-18,-34.94,BGFD
2025-05-19,439.28,BGFD
2025-05-20,-16.45,BGFD
2025-05-18,0.0,BGFF
2025-05-19,0.0,BGFF
2025-05-20,0.0,BGFF
2025-05-18,0.0,BGMD
2025-05-19,0.0,BGMD
2025-05-20,0.0,BGMD
2025-05-18,3569.45,BGMF
2025-05-19,3616.66,BGMF
2025-05-20,11060.46,BGMF
2025-06-10,1866.57,BTTD
2025-06-11,1904.42,BTTD
2025-06-12,2220.41,BTTD
2025-06-10,0.0,BTTF
2025-06-11,0.0,BTTF
2025-06-12,-0.01,BTTF
